"Stage","Session Number","Session Heading (Topic)","Slide Number","Slide Title","Slide Bullet Point"
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Diagnostic Tools: Ping, Traceroute & Scans."
"","15","Fiber Optic Basics","10","Practical Lab: Managed Switch Configuration","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","16","Network Troubleshooting","1","Title Slide - Network Troubleshooting","Identifying fault loop pathways using multimeter diagnostic tests."
"","","","","","Resolving IP conflicts and packet dropouts in network lines."
"","","","","","Diagnosing video noise, ground loops, and signal latency bugs."
"","16","Network Troubleshooting","2","Network Topologies & Layer Models","Analyze core parameters and hardware metrics for Network Troubleshooting."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Network Topologies & Layer Models."
"","16","Network Troubleshooting","3","IP Assignment & Subnet Calculation","Analyze core parameters and hardware metrics for Network Troubleshooting."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for IP Assignment & Subnet Calculation."
"","16","Network Troubleshooting","4","Switch Port Configuration & VLANs","Analyze core parameters and hardware metrics for Network Troubleshooting."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Switch Port Configuration & VLANs."
"","16","Network Troubleshooting","5","PoE Standards & Power Budgeting","Analyze core parameters and hardware metrics for Network Troubleshooting."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for PoE Standards & Power Budgeting."
"","16","Network Troubleshooting","6","Fiber Optic Cabling & Media Converters","Analyze core parameters and hardware metrics for Network Troubleshooting."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Fiber Optic Cabling & Media Converters."
"","16","Network Troubleshooting","7","Router Gateways, WAN, and NAT Mappings","Analyze core parameters and hardware metrics for Network Troubleshooting."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Router Gateways, WAN, and NAT Mappings."
"","16","Network Troubleshooting","8","IP conflicts & Loop Protection","Analyze core parameters and hardware metrics for Network Troubleshooting."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for IP conflicts & Loop Protection."
"","16","Network Troubleshooting","9","Diagnostic Tools: Ping, Traceroute & Scans","Analyze core parameters and hardware metrics for Network Troubleshooting."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Diagnostic Tools: Ping, Traceroute & Scans."
"","16","Network Troubleshooting","10","Practical Lab: Managed Switch Configuration","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"Stage 4: IP Camera Systems & VMS","17","DVR, NVR & Hybrid Systems","1","Title Slide - DVR, NVR & Hybrid Systems","Analyze core parameters and hardware metrics for DVR, NVR & Hybrid Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - DVR, NVR & Hybrid Systems."
"","17","DVR, NVR & Hybrid Systems","2","Camera Optics & Lens Calculations","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","17","DVR, NVR & Hybrid Systems","3","Sensor Physics & Lux Sensitivity","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","17","DVR, NVR & Hybrid Systems","4","Transmission Cabling & Coaxial Limits","Analyze core parameters and hardware metrics for DVR, NVR & Hybrid Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Transmission Cabling & Coaxial Limits."
"","17","DVR, NVR & Hybrid Systems","5","Video Encoding & Codec Profiles","Analyze core parameters and hardware metrics for DVR, NVR & Hybrid Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Video Encoding & Codec Profiles."
"","17","DVR, NVR & Hybrid Systems","6","Storage Architecture & RAID Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","17","DVR, NVR & Hybrid Systems","7","Analytics, AI & Detection Zones","Analyze core parameters and hardware metrics for DVR, NVR & Hybrid Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Analytics, AI & Detection Zones."
"","17","DVR, NVR & Hybrid Systems","8","Mounting Heights & DORI Design Standards","Analyze core parameters and hardware metrics for DVR, NVR & Hybrid Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Mounting Heights & DORI Design Standards."
"","17","DVR, NVR & Hybrid Systems","9","Cybersecurity & Port Protection","Analyze core parameters and hardware metrics for DVR, NVR & Hybrid Systems."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Cybersecurity & Port Protection."
"","17","DVR, NVR & Hybrid Systems","10","Practical Lab: Camera Setup & Diagnostics","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","18","RAID & Storage Design","1","Title Slide - RAID & Storage Design","Analyze core parameters and hardware metrics for RAID & Storage Design."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - RAID & Storage Design."
"","18","RAID & Storage Design","2","Camera Optics & Lens Calculations","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","18","RAID & Storage Design","3","Sensor Physics & Lux Sensitivity","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","18","RAID & Storage Design","4","Transmission Cabling & Coaxial Limits","Analyze core parameters and hardware metrics for RAID & Storage Design."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Transmission Cabling & Coaxial Limits."
"","18","RAID & Storage Design","5","Video Encoding & Codec Profiles","Analyze core parameters and hardware metrics for RAID & Storage Design."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Video Encoding & Codec Profiles."
"","18","RAID & Storage Design","6","Storage Architecture & RAID Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","18","RAID & Storage Design","7","Analytics, AI & Detection Zones","Analyze core parameters and hardware metrics for RAID & Storage Design."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Analytics, AI & Detection Zones."
"","18","RAID & Storage Design","8","Mounting Heights & DORI Design Standards","Analyze core parameters and hardware metrics for RAID & Storage Design."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Mounting Heights & DORI Design Standards."
"","18","RAID & Storage Design","9","Cybersecurity & Port Protection","Analyze core parameters and hardware metrics for RAID & Storage Design."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Cybersecurity & Port Protection."
"","18","RAID & Storage Design","10","Practical Lab: Camera Setup & Diagnostics","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","19","ONVIF Standards","1","Title Slide - ONVIF Standards","Analyze core parameters and hardware metrics for ONVIF Standards."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - ONVIF Standards."
"","19","ONVIF Standards","2","Camera Optics & Lens Calculations","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","19","ONVIF Standards","3","Sensor Physics & Lux Sensitivity","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","19","ONVIF Standards","4","Transmission Cabling & Coaxial Limits","Analyze core parameters and hardware metrics for ONVIF Standards."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Transmission Cabling & Coaxial Limits."
"","19","ONVIF Standards","5","Video Encoding & Codec Profiles","Analyze core parameters and hardware metrics for ONVIF Standards."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Video Encoding & Codec Profiles."
"","19","ONVIF Standards","6","Storage Architecture & RAID Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","19","ONVIF Standards","7","Analytics, AI & Detection Zones","Analyze core parameters and hardware metrics for ONVIF Standards."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Analytics, AI & Detection Zones."
"","19","ONVIF Standards","8","Mounting Heights & DORI Design Standards","Analyze core parameters and hardware metrics for ONVIF Standards."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Mounting Heights & DORI Design Standards."
"","19","ONVIF Standards","9","Cybersecurity & Port Protection","Analyze core parameters and hardware metrics for ONVIF Standards."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Cybersecurity & Port Protection."
"","19","ONVIF Standards","10","Practical Lab: Camera Setup & Diagnostics","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","20","Video Compression (H.264/H.265/H.265+)","1","Title Slide - Video Compression (H.264/H.265/H.265+)","Analyze core parameters and hardware metrics for Video Compression (H.264/H.265/H.265+)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Video Compression (H.264/H.265/H.265+)."
"","20","Video Compression (H.264/H.265/H.265+)","2","Camera Optics & Lens Calculations","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","20","Video Compression (H.264/H.265/H.265+)","3","Sensor Physics & Lux Sensitivity","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","20","Video Compression (H.264/H.265/H.265+)","4","Transmission Cabling & Coaxial Limits","Analyze core parameters and hardware metrics for Video Compression (H.264/H.265/H.265+)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Transmission Cabling & Coaxial Limits."
"","20","Video Compression (H.264/H.265/H.265+)","5","Video Encoding & Codec Profiles","Analyze core parameters and hardware metrics for Video Compression (H.264/H.265/H.265+)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Video Encoding & Codec Profiles."
"","20","Video Compression (H.264/H.265/H.265+)","6","Storage Architecture & RAID Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","20","Video Compression (H.264/H.265/H.265+)","7","Analytics, AI & Detection Zones","Analyze core parameters and hardware metrics for Video Compression (H.264/H.265/H.265+)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Analytics, AI & Detection Zones."
"","20","Video Compression (H.264/H.265/H.265+)","8","Mounting Heights & DORI Design Standards","Analyze core parameters and hardware metrics for Video Compression (H.264/H.265/H.265+)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Mounting Heights & DORI Design Standards."
"","20","Video Compression (H.264/H.265/H.265+)","9","Cybersecurity & Port Protection","Analyze core parameters and hardware metrics for Video Compression (H.264/H.265/H.265+)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Cybersecurity & Port Protection."
"","20","Video Compression (H.264/H.265/H.265+)","10","Practical Lab: Camera Setup & Diagnostics","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","21","AI Analytics","1","Title Slide - AI Analytics","Analyze core parameters and hardware metrics for AI Analytics."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - AI Analytics."
"","21","AI Analytics","2","Camera Optics & Lens Calculations","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","21","AI Analytics","3","Sensor Physics & Lux Sensitivity","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","21","AI Analytics","4","Transmission Cabling & Coaxial Limits","Analyze core parameters and hardware metrics for AI Analytics."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Transmission Cabling & Coaxial Limits."
"","21","AI Analytics","5","Video Encoding & Codec Profiles","Analyze core parameters and hardware metrics for AI Analytics."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Video Encoding & Codec Profiles."
"","21","AI Analytics","6","Storage Architecture & RAID Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","21","AI Analytics","7","Analytics, AI & Detection Zones","Analyze core parameters and hardware metrics for AI Analytics."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Analytics, AI & Detection Zones."
"","21","AI Analytics","8","Mounting Heights & DORI Design Standards","Analyze core parameters and hardware metrics for AI Analytics."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Mounting Heights & DORI Design Standards."
"","21","AI Analytics","9","Cybersecurity & Port Protection","Analyze core parameters and hardware metrics for AI Analytics."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Cybersecurity & Port Protection."
"","21","AI Analytics","10","Practical Lab: Camera Setup & Diagnostics","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","22","ANPR (Automatic Number Plate Recognition)","1","Title Slide - ANPR (Automatic Number Plate Recognition)","Analyze core parameters and hardware metrics for ANPR (Automatic Number Plate Recognition)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - ANPR (Automatic Number Plate Recognition)."
"","22","ANPR (Automatic Number Plate Recognition)","2","Camera Optics & Lens Calculations","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","22","ANPR (Automatic Number Plate Recognition)","3","Sensor Physics & Lux Sensitivity","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","22","ANPR (Automatic Number Plate Recognition)","4","Transmission Cabling & Coaxial Limits","Analyze core parameters and hardware metrics for ANPR (Automatic Number Plate Recognition)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Transmission Cabling & Coaxial Limits."
"","22","ANPR (Automatic Number Plate Recognition)","5","Video Encoding & Codec Profiles","Analyze core parameters and hardware metrics for ANPR (Automatic Number Plate Recognition)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Video Encoding & Codec Profiles."
"","22","ANPR (Automatic Number Plate Recognition)","6","Storage Architecture & RAID Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","22","ANPR (Automatic Number Plate Recognition)","7","Analytics, AI & Detection Zones","Analyze core parameters and hardware metrics for ANPR (Automatic Number Plate Recognition)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Analytics, AI & Detection Zones."
"","22","ANPR (Automatic Number Plate Recognition)","8","Mounting Heights & DORI Design Standards","Analyze core parameters and hardware metrics for ANPR (Automatic Number Plate Recognition)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Mounting Heights & DORI Design Standards."
"","22","ANPR (Automatic Number Plate Recognition)","9","Cybersecurity & Port Protection","Analyze core parameters and hardware metrics for ANPR (Automatic Number Plate Recognition)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Cybersecurity & Port Protection."
"","22","ANPR (Automatic Number Plate Recognition)","10","Practical Lab: Camera Setup & Diagnostics","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","23","Facial Recognition","1","Title Slide - Facial Recognition","Analyze core parameters and hardware metrics for Facial Recognition."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Facial Recognition."
"","23","Facial Recognition","2","Camera Optics & Lens Calculations","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","23","Facial Recognition","3","Sensor Physics & Lux Sensitivity","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","23","Facial Recognition","4","Transmission Cabling & Coaxial Limits","Analyze core parameters and hardware metrics for Facial Recognition."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Transmission Cabling & Coaxial Limits."
"","23","Facial Recognition","5","Video Encoding & Codec Profiles","Analyze core parameters and hardware metrics for Facial Recognition."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Video Encoding & Codec Profiles."
"","23","Facial Recognition","6","Storage Architecture & RAID Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","23","Facial Recognition","7","Analytics, AI & Detection Zones","Analyze core parameters and hardware metrics for Facial Recognition."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Analytics, AI & Detection Zones."
"","23","Facial Recognition","8","Mounting Heights & DORI Design Standards","Analyze core parameters and hardware metrics for Facial Recognition."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Mounting Heights & DORI Design Standards."
"","23","Facial Recognition","9","Cybersecurity & Port Protection","Analyze core parameters and hardware metrics for Facial Recognition."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Cybersecurity & Port Protection."
"","23","Facial Recognition","10","Practical Lab: Camera Setup & Diagnostics","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"Stage 5: Network & Camera Troubleshooting","24","ColorVu, AcuSense & Thermal Cameras","1","Title Slide - ColorVu, AcuSense & Thermal Cameras","Analyze core parameters and hardware metrics for ColorVu, AcuSense & Thermal Cameras."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - ColorVu, AcuSense & Thermal Cameras."
"","24","ColorVu, AcuSense & Thermal Cameras","2","Camera Optics & Lens Calculations","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","24","ColorVu, AcuSense & Thermal Cameras","3","Sensor Physics & Lux Sensitivity","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","24","ColorVu, AcuSense & Thermal Cameras","4","Transmission Cabling & Coaxial Limits","Analyze core parameters and hardware metrics for ColorVu, AcuSense & Thermal Cameras."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Transmission Cabling & Coaxial Limits."
"","24","ColorVu, AcuSense & Thermal Cameras","5","Video Encoding & Codec Profiles","Analyze core parameters and hardware metrics for ColorVu, AcuSense & Thermal Cameras."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Video Encoding & Codec Profiles."
"","24","ColorVu, AcuSense & Thermal Cameras","6","Storage Architecture & RAID Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","24","ColorVu, AcuSense & Thermal Cameras","7","Analytics, AI & Detection Zones","Analyze core parameters and hardware metrics for ColorVu, AcuSense & Thermal Cameras."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Analytics, AI & Detection Zones."
"","24","ColorVu, AcuSense & Thermal Cameras","8","Mounting Heights & DORI Design Standards","Analyze core parameters and hardware metrics for ColorVu, AcuSense & Thermal Cameras."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Mounting Heights & DORI Design Standards."
"","24","ColorVu, AcuSense & Thermal Cameras","9","Cybersecurity & Port Protection","Analyze core parameters and hardware metrics for ColorVu, AcuSense & Thermal Cameras."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Cybersecurity & Port Protection."
"","24","ColorVu, AcuSense & Thermal Cameras","10","Practical Lab: Camera Setup & Diagnostics","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"Stage 6: Building Communication Systems (VDP, Intercom, PA)","25","PTZ Cameras","1","Title Slide - PTZ Cameras","Analyze core parameters and hardware metrics for PTZ Cameras."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - PTZ Cameras."
"","25","PTZ Cameras","2","Camera Optics & Lens Calculations","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","25","PTZ Cameras","3","Sensor Physics & Lux Sensitivity","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","25","PTZ Cameras","4","Transmission Cabling & Coaxial Limits","Analyze core parameters and hardware metrics for PTZ Cameras."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Transmission Cabling & Coaxial Limits."
"","25","PTZ Cameras","5","Video Encoding & Codec Profiles","Analyze core parameters and hardware metrics for PTZ Cameras."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Video Encoding & Codec Profiles."
"","25","PTZ Cameras","6","Storage Architecture & RAID Sizing","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","25","PTZ Cameras","7","Analytics, AI & Detection Zones","Analyze core parameters and hardware metrics for PTZ Cameras."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Analytics, AI & Detection Zones."
"","25","PTZ Cameras","8","Mounting Heights & DORI Design Standards","Analyze core parameters and hardware metrics for PTZ Cameras."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Mounting Heights & DORI Design Standards."
"","25","PTZ Cameras","9","Cybersecurity & Port Protection","Analyze core parameters and hardware metrics for PTZ Cameras."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Cybersecurity & Port Protection."
"","25","PTZ Cameras","10","Practical Lab: Camera Setup & Diagnostics","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","26","Remote Viewing & Cloud","1","Title Slide - Remote Viewing & Cloud","Analyze core parameters and hardware metrics for Remote Viewing & Cloud."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Remote Viewing & Cloud."
"","26","Remote Viewing & Cloud","2","Business Models & Service Offerings","Analyze core parameters and hardware metrics for Remote Viewing & Cloud."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Business Models & Service Offerings."
"","26","Remote Viewing & Cloud","3","Performing Effective Site Surveys","Analyze core parameters and hardware metrics for Remote Viewing & Cloud."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Performing Effective Site Surveys."
"","26","Remote Viewing & Cloud","4","Writing Professional Bill of Quantities (BOQ)","Analyze core parameters and hardware metrics for Remote Viewing & Cloud."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Writing Professional Bill of Quantities (BOQ)."
"","26","Remote Viewing & Cloud","5","Project Management: Scheduling & Gantt Charts","Analyze core parameters and hardware metrics for Remote Viewing & Cloud."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Project Management: Scheduling & Gantt Charts."
"","26","Remote Viewing & Cloud","6","SLA Maintenance Contracts & AMCs","Analyze core parameters and hardware metrics for Remote Viewing & Cloud."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for SLA Maintenance Contracts & AMCs."
"","26","Remote Viewing & Cloud","7","Value Engineering & Negotiation tactics","Analyze core parameters and hardware metrics for Remote Viewing & Cloud."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Value Engineering & Negotiation tactics."
"","26","Remote Viewing & Cloud","8","Digital Marketing: Lead Generation Funnels","Analyze core parameters and hardware metrics for Remote Viewing & Cloud."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Digital Marketing: Lead Generation Funnels."
"","26","Remote Viewing & Cloud","9","Resume Writing & Portfolio Design for Engineers","Analyze core parameters and hardware metrics for Remote Viewing & Cloud."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Resume Writing & Portfolio Design for Engineers."
"","26","Remote Viewing & Cloud","10","Practical Lab: Client Quotation Workshop","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","27","Cybersecurity","1","Title Slide - Cybersecurity","Analyze core parameters and hardware metrics for Cybersecurity."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Cybersecurity."
"","27","Cybersecurity","2","Business Models & Service Offerings","Analyze core parameters and hardware metrics for Cybersecurity."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Business Models & Service Offerings."
"","27","Cybersecurity","3","Performing Effective Site Surveys","Analyze core parameters and hardware metrics for Cybersecurity."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Performing Effective Site Surveys."
"","27","Cybersecurity","4","Writing Professional Bill of Quantities (BOQ)","Analyze core parameters and hardware metrics for Cybersecurity."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Writing Professional Bill of Quantities (BOQ)."
"","27","Cybersecurity","5","Project Management: Scheduling & Gantt Charts","Analyze core parameters and hardware metrics for Cybersecurity."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Project Management: Scheduling & Gantt Charts."
"","27","Cybersecurity","6","SLA Maintenance Contracts & AMCs","Analyze core parameters and hardware metrics for Cybersecurity."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for SLA Maintenance Contracts & AMCs."
"","27","Cybersecurity","7","Value Engineering & Negotiation tactics","Analyze core parameters and hardware metrics for Cybersecurity."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Value Engineering & Negotiation tactics."
"","27","Cybersecurity","8","Digital Marketing: Lead Generation Funnels","Analyze core parameters and hardware metrics for Cybersecurity."
