"Stage","Session Number","Session Heading (Topic)","Slide Number","Slide Title","Slide Bullet Point","SVG Image Making Plan"
"","","","","","Identify loop faults caused by wrong cable patches.",""
"","","","","","Resolve slow network speeds by checking port speeds.",""
"","14","VLAN Basics","9","Diagnostics: Ping Command","Use ping to check if a device is connected.","Terminal interface simulation showing ping replies and request timeouts."
"","","","","","Read response times to identify slow network paths.",""
"","","","","","Troubleshoot connection drops using continuous ping.",""
"","14","VLAN Basics","10","Hands-On Lab Activity","Crimp a network cable and test it.","Lab workbench diagram showing cable, crimping tool, and tester."
"","","","","","Configure dynamic and static IPs on a camera.",""
"","","","","","Set up a PoE switch to power your devices.",""
"","15","PoE & PoE Switches","1","Introduction to PoE & PoE Switches","Learn the basic role of networks in security.","Network map showing router, switch, cameras, and PC connections."
"","","","","","Understand the difference between local and internet networks.",""
"","","","","","See how network switches connect multiple devices.",""
"","15","PoE & PoE Switches","2","IP Addresses Made Easy","An IP address is like a phone number for devices.","IP address block showing Network ID and Host ID divisions."
"","","","","","Learn the difference between static and dynamic IPs.",""
"","","","","","Understand subnet masks in simple terms.",""
"","15","PoE & PoE Switches","3","Connecting to Routers & Switches","Learn where to plug cables on routers and switches.","Hardware back panel layout showing WAN and LAN port highlights."
"","","","","","Identify the WAN port for internet and LAN for devices.",""
"","","","","","Configure basic router settings on a web browser.",""
"","15","PoE & PoE Switches","4","PoE (Power over Ethernet)","Send power and data over a single network cable.","PoE path diagram showing power injector sending power over Cat6 pins."
"","","","","","Size power budgets for multiple IP cameras.",""
"","","","","","Use PoE switches to simplify installation.",""
"","15","PoE & PoE Switches","5","VLAN Network Separation","Separate camera traffic from office computer networks.","Switch dividing ports into isolated color-coded VLAN groups."
"","","","","","Improve network speed by stopping broadcast storms.",""
"","","","","","Secure sensitive devices by blocking access.",""
"","15","PoE & PoE Switches","6","Fiber Optic Basics","Use glass fiber cables for very long distances.","Media converter diagram showing fiber input and RJ45 output."
"","","","","","Understand single-mode and multi-mode options.",""
"","","","","","Convert fiber signals back to copper Ethernet cables.",""
"","15","PoE & PoE Switches","7","Ethernet Cable Crimping","Learn the wire color orders for T568B standard.","RJ45 wire map showing color stripes matching pin numbers."
"","","","","","Strip and insert wires into RJ45 connectors.",""
"","","","","","Crimp and test the cables using a budget tester.",""
"","15","PoE & PoE Switches","8","Common Network Issues","Fix IP conflict errors when two devices have the same IP.","Conflict warning card showing duplicate IPs on a switch path."
"","","","","","Identify loop faults caused by wrong cable patches.",""
"","","","","","Resolve slow network speeds by checking port speeds.",""
"","15","PoE & PoE Switches","9","Diagnostics: Ping Command","Use ping to check if a device is connected.","Terminal interface simulation showing ping replies and request timeouts."
"","","","","","Read response times to identify slow network paths.",""
"","","","","","Troubleshoot connection drops using continuous ping.",""
"","15","PoE & PoE Switches","10","Hands-On Lab Activity","Crimp a network cable and test it.","Lab workbench diagram showing cable, crimping tool, and tester."
"","","","","","Configure dynamic and static IPs on a camera.",""
"","","","","","Set up a PoE switch to power your devices.",""
"Stage 4: IP Camera Systems & VMS","16","IP CCTV","1","Introduction to IP CCTV","Learn the basic purpose of IP CCTV.","Block diagram showing camera connecting to recorder and display monitor."
"","","","","","Compare old analog systems to modern setups.",""
"","","","","","Understand how cameras send video to recorders.",""
"","16","IP CCTV","2","Camera Enclosures and Lenses","Choose between dome, bullet, and turret shapes.","Visual comparisons of dome, bullet, and turret cameras with FOV angle charts."
"","","","","","Understand focal length and field of view differences.",""
"","","","","","Select the right lens size for wide or narrow areas.",""
"","16","IP CCTV","3","How Video is Recorded","Understand how recorders save video on hard drives.","Storage pipeline diagram showing video data streaming from camera to HDD."
"","","","","","Learn the difference between continuous and motion recording.",""
"","","","","","Select the right hard drive size for storage requirements.",""
"","16","IP CCTV","4","Cabling and Power Setup","Run coaxial or network cables to connect cameras.","Cable path blueprint showing maximum distances and power splitters."
"","","","","","Provide power to cameras using centralized supply boxes.",""
"","","","","","Understand distance limits for signal cables.",""
"","16","IP CCTV","5","Smart AI Camera Features","Set up virtual line crossing alerts to block intruders.","Intrusion zone grid showing target detection boxes around humans."
"","","","","","Filter out false alarms caused by wind or animals.",""
"","","","","","Use face detection to identify visitors.",""
"","16","IP CCTV","6","Setting Up Remote Viewing","Connect the recorder to the internet router.","Cloud connection graph showing NVR linking to router, cloud, and mobile app."
"","","","","","Scan the QR code to add the system to your phone.",""
"","","","","","View live camera feeds from anywhere.",""
"","16","IP CCTV","7","Securing Your Camera System","Change default passwords on initial setup.","Lock symbol diagram showing user roles and password strength rules."
"","","","","","Disable unused network ports to block hackers.",""
"","","","","","Update firmware to keep the system safe.",""
"","16","IP CCTV","8","Common CCTV Problems","Fix black screen issues by checking power links.","Error diagnosis card matching screen errors (black, blur, lines) to fixes."
"","","","","","Resolve blurry night video by cleaning camera lenses.",""
"","","","","","Eliminate hum bars by ground loop isolators.",""
"","16","IP CCTV","9","Maintenance and Cleaning","Clean camera glass cover with microfiber cloths.","Maintenance checklist card showing tools, blowers, and clean pads."
"","","","","","Check and blow dust out of recorder fans.",""
"","","","","","Test if backup batteries are working properly.",""
"","16","IP CCTV","10","Hands-On Lab Activity","Mount and wire the camera to the NVR.","Lab setup diagram showing camera, switch, NVR, and mobile phone link."
"","","","","","Set up motion detection zones on the software.",""
"","","","","","Configure mobile phone app for live viewing.",""
"","17","DVR, NVR & Hybrid Systems","1","Introduction to DVR, NVR & Hybrid Systems","Learn the basic purpose of DVR, NVR & Hybrid Systems.","Block diagram showing camera connecting to recorder and display monitor."
"","","","","","Compare old analog systems to modern setups.",""
"","","","","","Understand how cameras send video to recorders.",""
"","17","DVR, NVR & Hybrid Systems","2","Camera Enclosures and Lenses","Choose between dome, bullet, and turret shapes.","Visual comparisons of dome, bullet, and turret cameras with FOV angle charts."
"","","","","","Understand focal length and field of view differences.",""
"","","","","","Select the right lens size for wide or narrow areas.",""
"","17","DVR, NVR & Hybrid Systems","3","How Video is Recorded","Understand how recorders save video on hard drives.","Storage pipeline diagram showing video data streaming from camera to HDD."
"","","","","","Learn the difference between continuous and motion recording.",""
"","","","","","Select the right hard drive size for storage requirements.",""
"","17","DVR, NVR & Hybrid Systems","4","Cabling and Power Setup","Run coaxial or network cables to connect cameras.","Cable path blueprint showing maximum distances and power splitters."
"","","","","","Provide power to cameras using centralized supply boxes.",""
"","","","","","Understand distance limits for signal cables.",""
"","17","DVR, NVR & Hybrid Systems","5","Smart AI Camera Features","Set up virtual line crossing alerts to block intruders.","Intrusion zone grid showing target detection boxes around humans."
"","","","","","Filter out false alarms caused by wind or animals.",""
"","","","","","Use face detection to identify visitors.",""
"","17","DVR, NVR & Hybrid Systems","6","Setting Up Remote Viewing","Connect the recorder to the internet router.","Cloud connection graph showing NVR linking to router, cloud, and mobile app."
"","","","","","Scan the QR code to add the system to your phone.",""
"","","","","","View live camera feeds from anywhere.",""
"","17","DVR, NVR & Hybrid Systems","7","Securing Your Camera System","Change default passwords on initial setup.","Lock symbol diagram showing user roles and password strength rules."
"","","","","","Disable unused network ports to block hackers.",""
"","","","","","Update firmware to keep the system safe.",""
"","17","DVR, NVR & Hybrid Systems","8","Common CCTV Problems","Fix black screen issues by checking power links.","Error diagnosis card matching screen errors (black, blur, lines) to fixes."
"","","","","","Resolve blurry night video by cleaning camera lenses.",""
"","","","","","Eliminate hum bars by ground loop isolators.",""
"","17","DVR, NVR & Hybrid Systems","9","Maintenance and Cleaning","Clean camera glass cover with microfiber cloths.","Maintenance checklist card showing tools, blowers, and clean pads."
"","","","","","Check and blow dust out of recorder fans.",""
"","","","","","Test if backup batteries are working properly.",""
"","17","DVR, NVR & Hybrid Systems","10","Hands-On Lab Activity","Mount and wire the camera to the NVR.","Lab setup diagram showing camera, switch, NVR, and mobile phone link."
"","","","","","Set up motion detection zones on the software.",""
"","","","","","Configure mobile phone app for live viewing.",""
"","18","RAID & Storage Design","1","Introduction to RAID & Storage Design","Learn the basic purpose of RAID & Storage Design.","Block diagram showing camera connecting to recorder and display monitor."
"","","","","","Compare old analog systems to modern setups.",""
"","","","","","Understand how cameras send video to recorders.",""
"","18","RAID & Storage Design","2","Camera Enclosures and Lenses","Choose between dome, bullet, and turret shapes.","Visual comparisons of dome, bullet, and turret cameras with FOV angle charts."
"","","","","","Understand focal length and field of view differences.",""
"","","","","","Select the right lens size for wide or narrow areas.",""
"","18","RAID & Storage Design","3","How Video is Recorded","Understand how recorders save video on hard drives.","Storage pipeline diagram showing video data streaming from camera to HDD."
"","","","","","Learn the difference between continuous and motion recording.",""
"","","","","","Select the right hard drive size for storage requirements.",""
"","18","RAID & Storage Design","4","Cabling and Power Setup","Run coaxial or network cables to connect cameras.","Cable path blueprint showing maximum distances and power splitters."
"","","","","","Provide power to cameras using centralized supply boxes.",""
"","","","","","Understand distance limits for signal cables.",""
"","18","RAID & Storage Design","5","Smart AI Camera Features","Set up virtual line crossing alerts to block intruders.","Intrusion zone grid showing target detection boxes around humans."
"","","","","","Filter out false alarms caused by wind or animals.",""
"","","","","","Use face detection to identify visitors.",""
"","18","RAID & Storage Design","6","Setting Up Remote Viewing","Connect the recorder to the internet router.","Cloud connection graph showing NVR linking to router, cloud, and mobile app."
"","","","","","Scan the QR code to add the system to your phone.",""
"","","","","","View live camera feeds from anywhere.",""
"","18","RAID & Storage Design","7","Securing Your Camera System","Change default passwords on initial setup.","Lock symbol diagram showing user roles and password strength rules."
"","","","","","Disable unused network ports to block hackers.",""
"","","","","","Update firmware to keep the system safe.",""
"","18","RAID & Storage Design","8","Common CCTV Problems","Fix black screen issues by checking power links.","Error diagnosis card matching screen errors (black, blur, lines) to fixes."
"","","","","","Resolve blurry night video by cleaning camera lenses.",""
"","","","","","Eliminate hum bars by ground loop isolators.",""
"","18","RAID & Storage Design","9","Maintenance and Cleaning","Clean camera glass cover with microfiber cloths.","Maintenance checklist card showing tools, blowers, and clean pads."
"","","","","","Check and blow dust out of recorder fans.",""
"","","","","","Test if backup batteries are working properly.",""
"","18","RAID & Storage Design","10","Hands-On Lab Activity","Mount and wire the camera to the NVR.","Lab setup diagram showing camera, switch, NVR, and mobile phone link."
"","","","","","Set up motion detection zones on the software.",""
"","","","","","Configure mobile phone app for live viewing.",""
"","19","ONVIF Standards","1","Introduction to ONVIF Standards","Learn the basic purpose of ONVIF Standards.","Block diagram showing camera connecting to recorder and display monitor."
"","","","","","Compare old analog systems to modern setups.",""
"","","","","","Understand how cameras send video to recorders.",""
"","19","ONVIF Standards","2","Camera Enclosures and Lenses","Choose between dome, bullet, and turret shapes.","Visual comparisons of dome, bullet, and turret cameras with FOV angle charts."
"","","","","","Understand focal length and field of view differences.",""
"","","","","","Select the right lens size for wide or narrow areas.",""
"","19","ONVIF Standards","3","How Video is Recorded","Understand how recorders save video on hard drives.","Storage pipeline diagram showing video data streaming from camera to HDD."
"","","","","","Learn the difference between continuous and motion recording.",""
"","","","","","Select the right hard drive size for storage requirements.",""
"","19","ONVIF Standards","4","Cabling and Power Setup","Run coaxial or network cables to connect cameras.","Cable path blueprint showing maximum distances and power splitters."
"","","","","","Provide power to cameras using centralized supply boxes.",""
"","","","","","Understand distance limits for signal cables.",""
"","19","ONVIF Standards","5","Smart AI Camera Features","Set up virtual line crossing alerts to block intruders.","Intrusion zone grid showing target detection boxes around humans."
"","","","","","Filter out false alarms caused by wind or animals.",""
"","","","","","Use face detection to identify visitors.",""
"","19","ONVIF Standards","6","Setting Up Remote Viewing","Connect the recorder to the internet router.","Cloud connection graph showing NVR linking to router, cloud, and mobile app."
"","","","","","Scan the QR code to add the system to your phone.",""
"","","","","","View live camera feeds from anywhere.",""
"","19","ONVIF Standards","7","Securing Your Camera System","Change default passwords on initial setup.","Lock symbol diagram showing user roles and password strength rules."
"","","","","","Disable unused network ports to block hackers.",""
"","","","","","Update firmware to keep the system safe.",""
"","19","ONVIF Standards","8","Common CCTV Problems","Fix black screen issues by checking power links.","Error diagnosis card matching screen errors (black, blur, lines) to fixes."
"","","","","","Resolve blurry night video by cleaning camera lenses.",""
"","","","","","Eliminate hum bars by ground loop isolators.",""
"","19","ONVIF Standards","9","Maintenance and Cleaning","Clean camera glass cover with microfiber cloths.","Maintenance checklist card showing tools, blowers, and clean pads."
"","","","","","Check and blow dust out of recorder fans.",""
"","","","","","Test if backup batteries are working properly.",""
"","19","ONVIF Standards","10","Hands-On Lab Activity","Mount and wire the camera to the NVR.","Lab setup diagram showing camera, switch, NVR, and mobile phone link."
"","","","","","Set up motion detection zones on the software.",""
"","","","","","Configure mobile phone app for live viewing.",""
"","20","Video Compression (H.264/H.265/H.265+)","1","Introduction to Video Compression (H.264/H.265/H.265+)","Learn the basic purpose of Video Compression (H.264/H.265/H.265+).","Block diagram showing camera connecting to recorder and display monitor."
"","","","","","Compare old analog systems to modern setups.",""
"","","","","","Understand how cameras send video to recorders.",""
"","20","Video Compression (H.264/H.265/H.265+)","2","Camera Enclosures and Lenses","Choose between dome, bullet, and turret shapes.","Visual comparisons of dome, bullet, and turret cameras with FOV angle charts."
"","","","","","Understand focal length and field of view differences.",""
"","","","","","Select the right lens size for wide or narrow areas.",""
"","20","Video Compression (H.264/H.265/H.265+)","3","How Video is Recorded","Understand how recorders save video on hard drives.","Storage pipeline diagram showing video data streaming from camera to HDD."
"","","","","","Learn the difference between continuous and motion recording.",""
"","","","","","Select the right hard drive size for storage requirements.",""
"","20","Video Compression (H.264/H.265/H.265+)","4","Cabling and Power Setup","Run coaxial or network cables to connect cameras.","Cable path blueprint showing maximum distances and power splitters."
"","","","","","Provide power to cameras using centralized supply boxes.",""
"","","","","","Understand distance limits for signal cables.",""
"","20","Video Compression (H.264/H.265/H.265+)","5","Smart AI Camera Features","Set up virtual line crossing alerts to block intruders.","Intrusion zone grid showing target detection boxes around humans."
"","","","","","Filter out false alarms caused by wind or animals.",""
"","","","","","Use face detection to identify visitors.",""
"","20","Video Compression (H.264/H.265/H.265+)","6","Setting Up Remote Viewing","Connect the recorder to the internet router.","Cloud connection graph showing NVR linking to router, cloud, and mobile app."
"","","","","","Scan the QR code to add the system to your phone.",""
"","","","","","View live camera feeds from anywhere.",""
"","20","Video Compression (H.264/H.265/H.265+)","7","Securing Your Camera System","Change default passwords on initial setup.","Lock symbol diagram showing user roles and password strength rules."
"","","","","","Disable unused network ports to block hackers.",""
"","","","","","Update firmware to keep the system safe.",""
"","20","Video Compression (H.264/H.265/H.265+)","8","Common CCTV Problems","Fix black screen issues by checking power links.","Error diagnosis card matching screen errors (black, blur, lines) to fixes."
"","","","","","Resolve blurry night video by cleaning camera lenses.",""
"","","","","","Eliminate hum bars by ground loop isolators.",""
"","20","Video Compression (H.264/H.265/H.265+)","9","Maintenance and Cleaning","Clean camera glass cover with microfiber cloths.","Maintenance checklist card showing tools, blowers, and clean pads."
"","","","","","Check and blow dust out of recorder fans.",""
"","","","","","Test if backup batteries are working properly.",""
"","20","Video Compression (H.264/H.265/H.265+)","10","Hands-On Lab Activity","Mount and wire the camera to the NVR.","Lab setup diagram showing camera, switch, NVR, and mobile phone link."
"","","","","","Set up motion detection zones on the software.",""
"","","","","","Configure mobile phone app for live viewing.",""
"","21","AI Analytics","1","Introduction to AI Analytics","Learn the basic purpose of AI Analytics.","Block diagram showing camera connecting to recorder and display monitor."
"","","","","","Compare old analog systems to modern setups.",""
"","","","","","Understand how cameras send video to recorders.",""
"","21","AI Analytics","2","Camera Enclosures and Lenses","Choose between dome, bullet, and turret shapes.","Visual comparisons of dome, bullet, and turret cameras with FOV angle charts."
"","","","","","Understand focal length and field of view differences.",""
"","","","","","Select the right lens size for wide or narrow areas.",""
"","21","AI Analytics","3","How Video is Recorded","Understand how recorders save video on hard drives.","Storage pipeline diagram showing video data streaming from camera to HDD."
"","","","","","Learn the difference between continuous and motion recording.",""
"","","","","","Select the right hard drive size for storage requirements.",""
"","21","AI Analytics","4","Cabling and Power Setup","Run coaxial or network cables to connect cameras.","Cable path blueprint showing maximum distances and power splitters."
"","","","","","Provide power to cameras using centralized supply boxes.",""
"","","","","","Understand distance limits for signal cables.",""
"","21","AI Analytics","5","Smart AI Camera Features","Set up virtual line crossing alerts to block intruders.","Intrusion zone grid showing target detection boxes around humans."
"","","","","","Filter out false alarms caused by wind or animals.",""
"","","","","","Use face detection to identify visitors.",""
"","21","AI Analytics","6","Setting Up Remote Viewing","Connect the recorder to the internet router.","Cloud connection graph showing NVR linking to router, cloud, and mobile app."
"","","","","","Scan the QR code to add the system to your phone.",""
"","","","","","View live camera feeds from anywhere.",""
"","21","AI Analytics","7","Securing Your Camera System","Change default passwords on initial setup.","Lock symbol diagram showing user roles and password strength rules."
"","","","","","Disable unused network ports to block hackers.",""
"","","","","","Update firmware to keep the system safe.",""
"","21","AI Analytics","8","Common CCTV Problems","Fix black screen issues by checking power links.","Error diagnosis card matching screen errors (black, blur, lines) to fixes."
"","","","","","Resolve blurry night video by cleaning camera lenses.",""
"","","","","","Eliminate hum bars by ground loop isolators.",""
"","21","AI Analytics","9","Maintenance and Cleaning","Clean camera glass cover with microfiber cloths.","Maintenance checklist card showing tools, blowers, and clean pads."
"","","","","","Check and blow dust out of recorder fans.",""
"","","","","","Test if backup batteries are working properly.",""
"","21","AI Analytics","10","Hands-On Lab Activity","Mount and wire the camera to the NVR.","Lab setup diagram showing camera, switch, NVR, and mobile phone link."
"","","","","","Set up motion detection zones on the software.",""
"","","","","","Configure mobile phone app for live viewing.",""
"","22","ANPR (Automatic Number Plate Recognition)","1","Introduction to ANPR (Automatic Number Plate Recognition)","Learn the basic purpose of ANPR (Automatic Number Plate Recognition).","Block diagram showing camera connecting to recorder and display monitor."
"","","","","","Compare old analog systems to modern setups.",""
"","","","","","Understand how cameras send video to recorders.",""
"","22","ANPR (Automatic Number Plate Recognition)","2","Camera Enclosures and Lenses","Choose between dome, bullet, and turret shapes.","Visual comparisons of dome, bullet, and turret cameras with FOV angle charts."
"","","","","","Understand focal length and field of view differences.",""
"","","","","","Select the right lens size for wide or narrow areas.",""
"","22","ANPR (Automatic Number Plate Recognition)","3","How Video is Recorded","Understand how recorders save video on hard drives.","Storage pipeline diagram showing video data streaming from camera to HDD."
"","","","","","Learn the difference between continuous and motion recording.",""
"","","","","","Select the right hard drive size for storage requirements.",""
"","22","ANPR (Automatic Number Plate Recognition)","4","Cabling and Power Setup","Run coaxial or network cables to connect cameras.","Cable path blueprint showing maximum distances and power splitters."
"","","","","","Provide power to cameras using centralized supply boxes.",""
"","","","","","Understand distance limits for signal cables.",""
"","22","ANPR (Automatic Number Plate Recognition)","5","Smart AI Camera Features","Set up virtual line crossing alerts to block intruders.","Intrusion zone grid showing target detection boxes around humans."
"","","","","","Filter out false alarms caused by wind or animals.",""
"","","","","","Use face detection to identify visitors.",""
"","22","ANPR (Automatic Number Plate Recognition)","6","Setting Up Remote Viewing","Connect the recorder to the internet router.","Cloud connection graph showing NVR linking to router, cloud, and mobile app."
"","","","","","Scan the QR code to add the system to your phone.",""
"","","","","","View live camera feeds from anywhere.",""
"","22","ANPR (Automatic Number Plate Recognition)","7","Securing Your Camera System","Change default passwords on initial setup.","Lock symbol diagram showing user roles and password strength rules."
"","","","","","Disable unused network ports to block hackers.",""
"","","","","","Update firmware to keep the system safe.",""
"","22","ANPR (Automatic Number Plate Recognition)","8","Common CCTV Problems","Fix black screen issues by checking power links.","Error diagnosis card matching screen errors (black, blur, lines) to fixes."
"","","","","","Resolve blurry night video by cleaning camera lenses.",""
"","","","","","Eliminate hum bars by ground loop isolators.",""
"","22","ANPR (Automatic Number Plate Recognition)","9","Maintenance and Cleaning","Clean camera glass cover with microfiber cloths.","Maintenance checklist card showing tools, blowers, and clean pads."
"","","","","","Check and blow dust out of recorder fans.",""
"","","","","","Test if backup batteries are working properly.",""
"","22","ANPR (Automatic Number Plate Recognition)","10","Hands-On Lab Activity","Mount and wire the camera to the NVR.","Lab setup diagram showing camera, switch, NVR, and mobile phone link."
"","","","","","Set up motion detection zones on the software.",""
"","","","","","Configure mobile phone app for live viewing.",""
"","23","Facial Recognition","1","Introduction to Facial Recognition","Learn the basic purpose of Facial Recognition.","Block diagram showing camera connecting to recorder and display monitor."
"","","","","","Compare old analog systems to modern setups.",""
"","","","","","Understand how cameras send video to recorders.",""
"","23","Facial Recognition","2","Camera Enclosures and Lenses","Choose between dome, bullet, and turret shapes.","Visual comparisons of dome, bullet, and turret cameras with FOV angle charts."
"","","","","","Understand focal length and field of view differences.",""
"","","","","","Select the right lens size for wide or narrow areas.",""
"","23","Facial Recognition","3","How Video is Recorded","Understand how recorders save video on hard drives.","Storage pipeline diagram showing video data streaming from camera to HDD."
"","","","","","Learn the difference between continuous and motion recording.",""
"","","","","","Select the right hard drive size for storage requirements.",""
"","23","Facial Recognition","4","Cabling and Power Setup","Run coaxial or network cables to connect cameras.","Cable path blueprint showing maximum distances and power splitters."
"","","","","","Provide power to cameras using centralized supply boxes.",""
"","","","","","Understand distance limits for signal cables.",""
"","23","Facial Recognition","5","Smart AI Camera Features","Set up virtual line crossing alerts to block intruders.","Intrusion zone grid showing target detection boxes around humans."
"","","","","","Filter out false alarms caused by wind or animals.",""
"","","","","","Use face detection to identify visitors.",""
"","23","Facial Recognition","6","Setting Up Remote Viewing","Connect the recorder to the internet router.","Cloud connection graph showing NVR linking to router, cloud, and mobile app."
"","","","","","Scan the QR code to add the system to your phone.",""
"","","","","","View live camera feeds from anywhere.",""
"","23","Facial Recognition","7","Securing Your Camera System","Change default passwords on initial setup.","Lock symbol diagram showing user roles and password strength rules."
"","","","","","Disable unused network ports to block hackers.",""
"","","","","","Update firmware to keep the system safe.",""
"","23","Facial Recognition","8","Common CCTV Problems","Fix black screen issues by checking power links.","Error diagnosis card matching screen errors (black, blur, lines) to fixes."
"","","","","","Resolve blurry night video by cleaning camera lenses.",""
"","","","","","Eliminate hum bars by ground loop isolators.",""
"","23","Facial Recognition","9","Maintenance and Cleaning","Clean camera glass cover with microfiber cloths.","Maintenance checklist card showing tools, blowers, and clean pads."
"","","","","","Check and blow dust out of recorder fans.",""
"","","","","","Test if backup batteries are working properly.",""
"","23","Facial Recognition","10","Hands-On Lab Activity","Mount and wire the camera to the NVR.","Lab setup diagram showing camera, switch, NVR, and mobile phone link."
"","","","","","Set up motion detection zones on the software.",""
"","","","","","Configure mobile phone app for live viewing.",""
"","24","ColorVu, AcuSense & Thermal Cameras","1","Introduction to ColorVu, AcuSense & Thermal Cameras","Learn the basic purpose of ColorVu, AcuSense & Thermal Cameras.","Block diagram showing camera connecting to recorder and display monitor."
"","","","","","Compare old analog systems to modern setups.",""
"","","","","","Understand how cameras send video to recorders.",""
"","24","ColorVu, AcuSense & Thermal Cameras","2","Camera Enclosures and Lenses","Choose between dome, bullet, and turret shapes.","Visual comparisons of dome, bullet, and turret cameras with FOV angle charts."
"","","","","","Understand focal length and field of view differences.",""
"","","","","","Select the right lens size for wide or narrow areas.",""
"","24","ColorVu, AcuSense & Thermal Cameras","3","How Video is Recorded","Understand how recorders save video on hard drives.","Storage pipeline diagram showing video data streaming from camera to HDD."
"","","","","","Learn the difference between continuous and motion recording.",""
"","","","","","Select the right hard drive size for storage requirements.",""
"","24","ColorVu, AcuSense & Thermal Cameras","4","Cabling and Power Setup","Run coaxial or network cables to connect cameras.","Cable path blueprint showing maximum distances and power splitters."
"","","","","","Provide power to cameras using centralized supply boxes.",""
"","","","","","Understand distance limits for signal cables.",""
"","24","ColorVu, AcuSense & Thermal Cameras","5","Smart AI Camera Features","Set up virtual line crossing alerts to block intruders.","Intrusion zone grid showing target detection boxes around humans."
"","","","","","Filter out false alarms caused by wind or animals.",""
"","","","","","Use face detection to identify visitors.",""
"","24","ColorVu, AcuSense & Thermal Cameras","6","Setting Up Remote Viewing","Connect the recorder to the internet router.","Cloud connection graph showing NVR linking to router, cloud, and mobile app."
"","","","","","Scan the QR code to add the system to your phone.",""
"","","","","","View live camera feeds from anywhere.",""
"","24","ColorVu, AcuSense & Thermal Cameras","7","Securing Your Camera System","Change default passwords on initial setup.","Lock symbol diagram showing user roles and password strength rules."
"","","","","","Disable unused network ports to block hackers.",""
"","","","","","Update firmware to keep the system safe.",""
"","24","ColorVu, AcuSense & Thermal Cameras","8","Common CCTV Problems","Fix black screen issues by checking power links.","Error diagnosis card matching screen errors (black, blur, lines) to fixes."
"","","","","","Resolve blurry night video by cleaning camera lenses.",""
"","","","","","Eliminate hum bars by ground loop isolators.",""
"","24","ColorVu, AcuSense & Thermal Cameras","9","Maintenance and Cleaning","Clean camera glass cover with microfiber cloths.","Maintenance checklist card showing tools, blowers, and clean pads."
"","","","","","Check and blow dust out of recorder fans.",""
"","","","","","Test if backup batteries are working properly.",""
"","24","ColorVu, AcuSense & Thermal Cameras","10","Hands-On Lab Activity","Mount and wire the camera to the NVR.","Lab setup diagram showing camera, switch, NVR, and mobile phone link."
"","","","","","Set up motion detection zones on the software.",""
"","","","","","Configure mobile phone app for live viewing.",""
"","25","PTZ Cameras","1","Introduction to PTZ Cameras","Learn the basic purpose of PTZ Cameras.","Block diagram showing camera connecting to recorder and display monitor."
"","","","","","Compare old analog systems to modern setups.",""
"","","","","","Understand how cameras send video to recorders.",""
"","25","PTZ Cameras","2","Camera Enclosures and Lenses","Choose between dome, bullet, and turret shapes.","Visual comparisons of dome, bullet, and turret cameras with FOV angle charts."
"","","","","","Understand focal length and field of view differences.",""
"","","","","","Select the right lens size for wide or narrow areas.",""
"","25","PTZ Cameras","3","How Video is Recorded","Understand how recorders save video on hard drives.","Storage pipeline diagram showing video data streaming from camera to HDD."
"","","","","","Learn the difference between continuous and motion recording.",""
"","","","","","Select the right hard drive size for storage requirements.",""
"","25","PTZ Cameras","4","Cabling and Power Setup","Run coaxial or network cables to connect cameras.","Cable path blueprint showing maximum distances and power splitters."
"","","","","","Provide power to cameras using centralized supply boxes.",""
"","","","","","Understand distance limits for signal cables.",""
"","25","PTZ Cameras","5","Smart AI Camera Features","Set up virtual line crossing alerts to block intruders.","Intrusion zone grid showing target detection boxes around humans."
"","","","","","Filter out false alarms caused by wind or animals.",""
"","","","","","Use face detection to identify visitors.",""
"","25","PTZ Cameras","6","Setting Up Remote Viewing","Connect the recorder to the internet router.","Cloud connection graph showing NVR linking to router, cloud, and mobile app."
"","","","","","Scan the QR code to add the system to your phone.",""
"","","","","","View live camera feeds from anywhere.",""
"","25","PTZ Cameras","7","Securing Your Camera System","Change default passwords on initial setup.","Lock symbol diagram showing user roles and password strength rules."
"","","","","","Disable unused network ports to block hackers.",""
"","","","","","Update firmware to keep the system safe.",""
"","25","PTZ Cameras","8","Common CCTV Problems","Fix black screen issues by checking power links.","Error diagnosis card matching screen errors (black, blur, lines) to fixes."
"","","","","","Resolve blurry night video by cleaning camera lenses.",""
"","","","","","Eliminate hum bars by ground loop isolators.",""
"","25","PTZ Cameras","9","Maintenance and Cleaning","Clean camera glass cover with microfiber cloths.","Maintenance checklist card showing tools, blowers, and clean pads."
"","","","","","Check and blow dust out of recorder fans.",""
"","","","","","Test if backup batteries are working properly.",""
"","25","PTZ Cameras","10","Hands-On Lab Activity","Mount and wire the camera to the NVR.","Lab setup diagram showing camera, switch, NVR, and mobile phone link."
"","","","","","Set up motion detection zones on the software.",""
"","","","","","Configure mobile phone app for live viewing.",""
"","26","Cybersecurity","1","Introduction to Cybersecurity","Learn what Cybersecurity is and why it is used.","Block diagram showing input sensors, main panel, and output control paths."
"","","","","","Understand the main parts of this system.",""
"","","","","","See how it improves safety and convenience.",""
"","26","Cybersecurity","2","Key Hardware Components","Identify the main controllers, sensors, and locks.","Visual component layout with labels for controller board, locks, and sensors."
"","","","","","Select the right hardware for different entry paths.",""
"","","","","","Configure device wiring loops safely.",""
