"Stage","Session Number","Session Heading (Topic)","Slide Number","Slide Title","Slide Bullet Point"
"","14","VLAN Basics","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 3: Networking Fundamentals & Infrastructure","15","PoE & PoE Switches","1","Title Slide - PoE & PoE Switches","Welcome and overview of PoE & PoE Switches concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","15","PoE & PoE Switches","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","15","PoE & PoE Switches","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","15","PoE & PoE Switches","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","15","PoE & PoE Switches","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","15","PoE & PoE Switches","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","15","PoE & PoE Switches","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","15","PoE & PoE Switches","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","15","PoE & PoE Switches","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","15","PoE & PoE Switches","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 4: IP Camera Systems & VMS","16","IP CCTV","1","Title Slide - IP CCTV","Welcome and overview of IP CCTV concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","16","IP CCTV","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","16","IP CCTV","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","16","IP CCTV","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","16","IP CCTV","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","16","IP CCTV","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","16","IP CCTV","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","16","IP CCTV","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","16","IP CCTV","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","16","IP CCTV","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 4: IP Camera Systems & VMS","17","DVR, NVR & Hybrid Systems","1","Title Slide - DVR, NVR & Hybrid Systems","Welcome and overview of DVR, NVR & Hybrid Systems concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","17","DVR, NVR & Hybrid Systems","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","17","DVR, NVR & Hybrid Systems","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","17","DVR, NVR & Hybrid Systems","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","17","DVR, NVR & Hybrid Systems","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","17","DVR, NVR & Hybrid Systems","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","17","DVR, NVR & Hybrid Systems","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","17","DVR, NVR & Hybrid Systems","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","17","DVR, NVR & Hybrid Systems","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","17","DVR, NVR & Hybrid Systems","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 4: IP Camera Systems & VMS","18","RAID & Storage Design","1","Title Slide - RAID & Storage Design","Welcome and overview of RAID & Storage Design concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","18","RAID & Storage Design","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","18","RAID & Storage Design","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","18","RAID & Storage Design","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","18","RAID & Storage Design","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","18","RAID & Storage Design","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","18","RAID & Storage Design","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","18","RAID & Storage Design","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","18","RAID & Storage Design","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","18","RAID & Storage Design","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 4: IP Camera Systems & VMS","19","ONVIF Standards","1","Title Slide - ONVIF Standards","Welcome and overview of ONVIF Standards concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","19","ONVIF Standards","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","19","ONVIF Standards","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","19","ONVIF Standards","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","19","ONVIF Standards","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","19","ONVIF Standards","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","19","ONVIF Standards","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","19","ONVIF Standards","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","19","ONVIF Standards","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","19","ONVIF Standards","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 4: IP Camera Systems & VMS","20","Video Compression (H.264/H.265/H.265+)","1","Title Slide - Video Compression (H.264/H.265/H.265+)","Welcome and overview of Video Compression (H.264/H.265/H.265+) concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","20","Video Compression (H.264/H.265/H.265+)","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","20","Video Compression (H.264/H.265/H.265+)","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","20","Video Compression (H.264/H.265/H.265+)","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","20","Video Compression (H.264/H.265/H.265+)","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","20","Video Compression (H.264/H.265/H.265+)","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","20","Video Compression (H.264/H.265/H.265+)","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","20","Video Compression (H.264/H.265/H.265+)","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","20","Video Compression (H.264/H.265/H.265+)","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","20","Video Compression (H.264/H.265/H.265+)","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 4: IP Camera Systems & VMS","21","AI Analytics","1","Title Slide - AI Analytics","Welcome and overview of AI Analytics concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","21","AI Analytics","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","21","AI Analytics","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","21","AI Analytics","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","21","AI Analytics","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","21","AI Analytics","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","21","AI Analytics","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","21","AI Analytics","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","21","AI Analytics","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","21","AI Analytics","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 4: IP Camera Systems & VMS","22","ANPR (Automatic Number Plate Recognition)","1","Title Slide - ANPR (Automatic Number Plate Recognition)","Welcome and overview of ANPR (Automatic Number Plate Recognition) concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","22","ANPR (Automatic Number Plate Recognition)","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","22","ANPR (Automatic Number Plate Recognition)","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","22","ANPR (Automatic Number Plate Recognition)","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","22","ANPR (Automatic Number Plate Recognition)","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","22","ANPR (Automatic Number Plate Recognition)","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","22","ANPR (Automatic Number Plate Recognition)","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","22","ANPR (Automatic Number Plate Recognition)","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","22","ANPR (Automatic Number Plate Recognition)","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","22","ANPR (Automatic Number Plate Recognition)","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 4: IP Camera Systems & VMS","23","Facial Recognition","1","Title Slide - Facial Recognition","Welcome and overview of Facial Recognition concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","23","Facial Recognition","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","23","Facial Recognition","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","23","Facial Recognition","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","23","Facial Recognition","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","23","Facial Recognition","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","23","Facial Recognition","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","23","Facial Recognition","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","23","Facial Recognition","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","23","Facial Recognition","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 4: IP Camera Systems & VMS","24","ColorVu, AcuSense & Thermal Cameras","1","Title Slide - ColorVu, AcuSense & Thermal Cameras","Welcome and overview of ColorVu, AcuSense & Thermal Cameras concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","24","ColorVu, AcuSense & Thermal Cameras","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","24","ColorVu, AcuSense & Thermal Cameras","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","24","ColorVu, AcuSense & Thermal Cameras","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","24","ColorVu, AcuSense & Thermal Cameras","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","24","ColorVu, AcuSense & Thermal Cameras","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","24","ColorVu, AcuSense & Thermal Cameras","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","24","ColorVu, AcuSense & Thermal Cameras","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","24","ColorVu, AcuSense & Thermal Cameras","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","24","ColorVu, AcuSense & Thermal Cameras","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 4: IP Camera Systems & VMS","25","PTZ Cameras","1","Title Slide - PTZ Cameras","Welcome and overview of PTZ Cameras concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","25","PTZ Cameras","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","25","PTZ Cameras","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","25","PTZ Cameras","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","25","PTZ Cameras","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","25","PTZ Cameras","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","25","PTZ Cameras","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","25","PTZ Cameras","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","25","PTZ Cameras","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","25","PTZ Cameras","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 4: IP Camera Systems & VMS","26","Cybersecurity","1","Title Slide - Cybersecurity","Welcome and overview of Cybersecurity concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","26","Cybersecurity","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","26","Cybersecurity","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","26","Cybersecurity","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","26","Cybersecurity","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","26","Cybersecurity","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","26","Cybersecurity","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","26","Cybersecurity","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","26","Cybersecurity","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","26","Cybersecurity","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 4: IP Camera Systems & VMS","27","Remote Viewing & Cloud","1","Title Slide - Remote Viewing & Cloud","Welcome and overview of Remote Viewing & Cloud concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","27","Remote Viewing & Cloud","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","27","Remote Viewing & Cloud","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","27","Remote Viewing & Cloud","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","27","Remote Viewing & Cloud","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","27","Remote Viewing & Cloud","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","27","Remote Viewing & Cloud","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","27","Remote Viewing & Cloud","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","27","Remote Viewing & Cloud","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","27","Remote Viewing & Cloud","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 5: Network & Camera Troubleshooting","28","Network Troubleshooting","1","Title Slide - Network Troubleshooting","Welcome and overview of Network Troubleshooting concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","28","Network Troubleshooting","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","28","Network Troubleshooting","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","28","Network Troubleshooting","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
"","","","","","Interface wiring schematics and connector layouts."
"","","","","","Power requirements and electrical parameters."
"","28","Network Troubleshooting","5","Software Logic and Configuration Settings","Configuring device APIs, registry values, and system profiles."
"","","","","","User access control levels and security overrides."
"","","","","","Data backup and log exporting parameters."
"","28","Network Troubleshooting","6","Testing and Inspection Standards","Validation checklists, test points, and safety rules."
"","","","","","Equipment diagnostic commands and audit scopes."
"","","","","","Compliance guidelines and local code rules."
"","28","Network Troubleshooting","7","Site Installation Guidelines","Physical mounting locations, brackets, and pipe conduit paths."
"","","","","","Weatherproof considerations and environmental protections."
"","","","","","Cable routing paths and service separation."
"","28","Network Troubleshooting","8","Specialized Features and Advanced Logic","Advanced integrations, relays, automation triggers."
"","","","","","Edge analytics, logic profiles, and network safety."
"","","","","","System scalability and upgrade path design."
"","28","Network Troubleshooting","9","Troubleshooting and Fault Finding Workflows","Common errors, LED indicators, and fault isolation paths."
"","","","","","Cable test parameters and hardware repair guidelines."
"","","","","","Firmware recovery loops and backup operations."
"","28","Network Troubleshooting","10","Lab Work: Commissioning and Handover","Direct hands-on testing, commissioning procedures, and tools."
"","","","","","As-built drawings, client sign-off checklists, handover packs."
"","","","","","Practical session checklist and final evaluation."
"Stage 5: Network & Camera Troubleshooting","29","Camera Troubleshooting","1","Title Slide - Camera Troubleshooting","Welcome and overview of Camera Troubleshooting concepts."
"","","","","","Core learning outcomes and structural objectives."
"","","","","","Interactive blueprint walkthrough."
"","29","Camera Troubleshooting","2","Introduction and Core Terminology","Defining key terms and baseline definitions."
"","","","","","Historical context and technology growth vectors."
"","","","","","Industry application scenarios."
"","29","Camera Troubleshooting","3","Operational Concepts and Workflows","Step-by-step operating procedures and standards."
"","","","","","Input/Output parameters and device behaviors."
"","","","","","Process mapping and configuration setups."
"","29","Camera Troubleshooting","4","Hardware Architecture and Components","Detailed component selection and hardware profiles."
